aerify	aerifies	aerified	aerified	aerifying
aestivate	aestivates	aestivated	aestivated	aestivating
affect	affects	affected	affected	affecting
affiance	affiances	affianced	affianced	affiancing
affiliate	affiliates	affiliated	affiliated	affiliating
affirm	affirms	affirmed	affirmed	affirming
affix	affixes	affixed	affixed	affixing
afflict	afflicts	afflicted	afflicted	afflicting
afford	affords	afforded	afforded	affording
afforest	afforests	afforested	afforested	afforesting
affranchise	affranchises	affranchised	affranchised	affranchising
affray	affrays	affrayed	affrayed	affraying
affright	affrights	affrighted	affrighted	affrighting
affront	affronts	affronted	affronted	affronting
africanize	africanizes	africanized	africanized	africanizing
afrikanerize	afrikanerizes	afrikanerized	afrikanerized	afrikanerizing
age	ages	aged	aged	aging
agglomerate	agglomerates	agglomerated	agglomerated	agglomerating
agglutinate	agglutinates	agglutinated	agglutinated	agglutinating
aggrade	aggrades	aggraded	aggraded	aggrading
aggrandize	aggrandizes	aggrandized	aggrandized	aggrandizing
aggravate	aggravates	aggravated	aggravated	aggravating
aggregate	aggregates	aggregated	aggregated	aggregating
aggress	aggresses	aggressed	aggressed	aggressing
aggrieve	aggrieves	aggrieved	aggrieved	aggrieving
agist	agists	agisted	agisted	agisting
agitate	agitates	agitated	agitated	agitating
agonise	agonises	agonised	agonised	agonising
agonize	agonizes	agonized	agonized	agonizing
agree	agrees	agreed	agreed	agreeing
aid	aids	aided	aided	aiding
ail	ails	ailed	ailed	ailing
aim	aims	aimed	aimed	aiming
air	airs	aired	aired	airing
air-dash	air-dashes	air-dashed	air-dashed	air-dashing
air-dry	air-dries	air-dried	air-dried	air-drying
air-kiss	air-kisses	air-kissed	air-kissed	air-kissing
airbrush	airbrushes	airbrushed	airbrushed	airbrushing
aircondition	airconditions	airconditioned	airconditioned	airconditioning
aircool	aircools	aircooled	aircooled	aircooling
airdash	airdashes	airdashed	airdashed	airdashing
airdrop	airdrops	airdropped	airdropped	airdropping
airdry	airdries	airdried	airdried	airdrying
airfreight	airfreights	airfreighted	airfreighted	airfreighting
airkiss	airkisses	airkissed	airkissed	airkissing
